class_code,class_name,count,percentage,split,horizon
0,DOWN,9429,31.90107250397537,train,30
1,STABLE,10345,35.00016916466488,train,30
2,UP,9783,33.09875833135975,train,30
0,DOWN,2545,45.204262877442275,val,30
1,STABLE,856,15.204262877442273,val,30
2,UP,2229,39.59147424511545,val,30
0,DOWN,1904,42.38646482635797,test,30
1,STABLE,778,17.319679430097953,test,30
2,UP,1810,40.29385574354408,test,30
0,DOWN,13878,34.97567983064089,all,10
1,STABLE,11979,30.189772927745153,all,10
2,UP,13822,34.834547241613954,all,10
0,DOWN,13878,34.97567983064089,all,30
1,STABLE,11979,30.189772927745153,all,30
2,UP,13822,34.834547241613954,all,30
0,DOWN,13879,34.976437085758924,all,60
1,STABLE,11980,30.190771401930395,all,60
2,UP,13822,34.83279151231068,all,60
