feature_a,feature_b,abs_corr
relative_spread_bps,ask_distance_1_bps,1.0
relative_spread_bps,bid_distance_1_bps,1.0
ask_range_8_bps,ask_distance_8_bps,0.9539058622016504
delta_spread_5s,delta_spread_15s,1.0
delta_spread_5s,delta_spread_30s,1.0
delta_spread_15s,delta_spread_30s,1.0
delta_obi5_5s,delta_obi5_15s,1.0
delta_obi5_5s,delta_obi5_30s,1.0
delta_obi5_15s,delta_obi5_30s,1.0
delta_microprice_edge_5s,delta_microprice_edge_15s,1.0
delta_microprice_edge_5s,delta_microprice_edge_30s,1.0
delta_microprice_edge_15s,delta_microprice_edge_30s,1.0
ask_distance_1_bps,bid_distance_1_bps,1.0
return_5s,return_15s,1.0
return_5s,return_30s,1.0
return_5s,return_60s,1.0
return_15s,return_30s,1.0
return_15s,return_60s,1.0
return_30s,return_60s,1.0
