trial,val_macro_f1,seconds,param_max_depth,param_learning_rate,param_n_estimators,param_min_child_weight,param_subsample,param_colsample_bytree,param_gamma,param_reg_alpha,param_reg_lambda,param_max_delta_step
0,0.3726820948765966,0.39213109016418457,2,0.075,750,5.0,0.8,1.0,0.0,2.5,1.0,0
1,0.3983377247154476,0.6488809585571289,5,0.1,1000,20.0,0.9,0.9,1.0,0.0,20.0,1
2,0.3921027952271654,0.9008088111877441,5,0.03,300,50.0,0.9,0.8,0.5,5.0,5.0,1
3,0.3826375330867829,0.877716064453125,4,0.02,200,10.0,1.0,0.5,5.0,5.0,1.0,1
4,0.37580377810259974,0.33736395835876465,2,0.075,1000,5.0,0.6,1.0,1.0,10.0,10.0,5
5,0.399177035851847,1.5132548809051514,6,0.02,500,5.0,0.8,0.5,1.0,0.1,20.0,5
6,0.402938553078134,0.8506019115447998,7,0.075,500,50.0,0.8,0.6,5.0,0.5,0.5,1
7,0.405597568090131,1.6418869495391846,6,0.02,500,1.0,0.9,0.7,0.5,0.1,5.0,5
8,0.41269487270379557,1.6935420036315918,7,0.03,200,20.0,0.9,0.9,0.0,0.5,20.0,5
9,0.37843597253215194,0.5059301853179932,4,0.075,1500,5.0,1.0,0.6,0.25,2.5,10.0,0
10,0.4052972292956302,1.608332872390747,6,0.02,1000,1.0,0.9,0.9,2.0,2.5,5.0,5
11,0.37898654644178426,0.4374101161956787,3,0.075,750,5.0,0.8,0.8,0.0,0.0,1.0,0
12,0.3820792996320821,0.5463130474090576,4,0.075,750,5.0,1.0,0.8,0.0,5.0,10.0,1
13,0.3983026122223679,0.791316032409668,5,0.05,200,10.0,0.9,0.6,1.5,0.0,2.0,1
14,0.4052847277835126,2.3051140308380127,7,0.02,300,5.0,1.0,1.0,0.0,0.1,20.0,0
15,0.4163044153537316,2.1565299034118652,7,0.02,1500,3.0,0.8,0.8,0.0,1.0,5.0,5
16,0.40761613648555545,1.5159432888031006,7,0.05,500,5.0,0.8,0.9,0.5,0.1,2.0,0
17,0.37117622978103165,0.7028727531433105,2,0.01,1000,20.0,0.9,0.7,2.0,0.1,50.0,1
18,0.4145062884373856,3.153033971786499,7,0.01,500,20.0,0.8,0.7,0.25,0.5,1.0,0
19,0.3977884325347396,0.9393270015716553,6,0.05,750,5.0,1.0,0.5,0.5,0.0,2.0,5
20,0.39566716599434487,0.5314769744873047,4,0.1,500,20.0,0.8,0.6,2.0,10.0,1.0,5
21,0.37321800188972426,0.44190406799316406,3,0.075,1000,5.0,0.9,0.6,0.0,0.0,5.0,5
22,0.3678243498725147,0.4319322109222412,2,0.03,1000,3.0,0.9,0.6,2.0,2.5,5.0,0
23,0.3928518309818408,0.5419230461120605,4,0.1,200,20.0,0.8,0.9,1.5,1.0,2.0,1
24,0.3592761620881118,0.3734321594238281,2,0.05,200,10.0,0.9,0.5,2.0,0.5,20.0,0
25,0.37670776319556687,0.6337881088256836,3,0.03,300,3.0,0.9,0.5,1.5,0.0,1.0,1
26,0.4017714206323462,1.4391517639160156,6,0.02,300,50.0,1.0,0.8,1.0,0.5,10.0,1
27,0.38323972587272676,1.1306350231170654,3,0.01,200,50.0,0.8,0.7,1.0,5.0,0.5,0
28,0.3791186698696937,0.5655162334442139,3,0.03,1000,5.0,0.8,1.0,0.25,2.5,5.0,1
29,0.40480727980950176,1.5368609428405762,6,0.02,1500,3.0,0.8,0.8,2.0,1.0,1.0,0
30,0.38227195207495795,0.5366470813751221,4,0.075,200,50.0,0.8,0.5,0.5,1.0,2.0,0
31,0.3921458401311994,0.7161569595336914,5,0.075,200,3.0,0.7,0.8,2.0,5.0,50.0,5
32,0.37840080114294167,1.025810956954956,3,0.01,750,50.0,1.0,0.6,0.25,0.0,0.5,1
33,0.39749157206373753,0.9352822303771973,5,0.03,300,20.0,0.8,0.9,5.0,0.5,1.0,5
34,0.39537514626648673,1.0870590209960938,5,0.02,750,10.0,1.0,0.6,5.0,10.0,1.0,0
35,0.3972763665874119,1.8339769840240479,5,0.01,300,5.0,1.0,1.0,0.25,10.0,0.5,5
36,0.40176071900119575,0.8883907794952393,7,0.1,300,50.0,0.6,0.8,1.0,0.5,0.5,5
37,0.38039106056769745,0.6087408065795898,4,0.05,500,5.0,1.0,0.5,2.0,5.0,2.0,0
