feature,coef_0,coef_1,coef_2,sign_0,sign_1,sign_2
relative_spread_bps,0.01283075422312921,-0.05189517457033533,0.03906442034720786,1.0,-1.0,1.0
ask_range_8_bps,0.015308614508702694,-0.012223395651087956,-0.0030852188576142594,1.0,-1.0,-1.0
bid_range_8_bps,0.010237378984384721,-0.023046286161025616,0.012808907176636748,1.0,-1.0,1.0
ask_concentration,-0.1421561930353973,0.19830268752246635,-0.05614649448706659,-1.0,1.0,-1.0
bid_concentration,-0.06830430390699545,0.13763065807709005,-0.06932635417009321,-1.0,1.0,-1.0
delta_spread_5s,0.002457383351508469,0.007151814188729847,-0.009609197540237589,1.0,1.0,-1.0
delta_spread_15s,0.002457383351508469,0.007151814188729847,-0.009609197540237589,1.0,1.0,-1.0
delta_spread_30s,0.002457383351508469,0.007151814188729847,-0.009609197540237589,1.0,1.0,-1.0
spread_mean_120s,0.021145245563822787,-0.025430209803254143,0.0042849642394196755,1.0,-1.0,1.0
spread_std_120s,0.023946075732091062,-0.04890120749093609,0.024955131758847168,1.0,-1.0,1.0
spread_mean_300s,0.041773109748121734,-0.012220776856835066,-0.029552332891285216,1.0,-1.0,-1.0
spread_std_300s,-0.009295522038259013,-0.007922242107203572,0.017217764145466878,-1.0,-1.0,1.0
log_ask_depth_1,-0.028794246550359528,0.06166651163864121,-0.03287226508828064,-1.0,1.0,-1.0
log_ask_depth_2,0.09048358256427813,-0.14093069539486155,0.05044711283058765,1.0,-1.0,1.0
log_ask_depth_3,-0.030182784172231338,0.02453709133110221,0.005645692841120702,-1.0,1.0,1.0
log_ask_depth_5,0.012673110020699166,-0.014392474908154521,0.0017193648874571476,1.0,-1.0,1.0
log_ask_depth_8,-0.14427318316246862,0.1979695530226027,-0.05369636986013624,-1.0,1.0,-1.0
log_bid_depth_1,-0.039676736794958936,0.10922472533406083,-0.06954798853910159,-1.0,1.0,-1.0
log_bid_depth_2,0.03865717185259041,-0.08792043912415713,0.04926326727156583,1.0,-1.0,1.0
log_bid_depth_3,-0.027588579645591194,0.043203444734363564,-0.015614865088771149,-1.0,1.0,-1.0
log_bid_depth_5,0.011184916615436295,0.006119064263489733,-0.01730398087892742,1.0,1.0,-1.0
log_bid_depth_8,0.029303563513216543,-0.023143227164485636,-0.006160336348728373,1.0,-1.0,-1.0
obi_1,-0.24683217900412704,-0.010140360871659962,0.2569725398757889,-1.0,-1.0,1.0
obi_2,-0.07258875884544513,-0.005679740953868753,0.07826849979931,-1.0,-1.0,1.0
obi_3,0.019323151127125248,-0.07432823102586378,0.05500507989874037,1.0,-1.0,1.0
obi_5,-0.04120750897124245,-0.00341429697922206,0.044621805950460995,-1.0,-1.0,1.0
obi_8,-0.09625201341581917,0.007169168939143324,0.08908284447667188,-1.0,1.0,1.0
weighted_obi,0.04091676896476548,0.13753230323176455,-0.17844907219652872,1.0,1.0,-1.0
microprice_edge_bps,0.11852912564027875,-0.0013017986803335038,-0.11722732695994391,1.0,-1.0,-1.0
