segment,n_gaps,mean,median,std,min,max,p01,p05,p25,p75,p90,p95,p99,pct_above_10s,pct_above_30s,pct_above_60s,pct_above_120s,pct_above_300s,pct_above_600s,hour
hour_00,1680,90.20357181488095,68.4281315,43.44344208462404,68.313664,243.418997,68.32522420000001,68.3393145,68.38240225,78.37102275000001,188.859135,189.14786529999998,190.31455772,100.0,100.0,100.0,18.75,0.0,0.0,0
hour_01,1679,90.16670125193566,68.426461,43.21528014808084,68.29024,229.831639,68.32321168,68.3384163,68.3805785,78.368586,188.8764392,189.1092998,190.0050948,100.0,100.0,100.0,18.70160810005956,0.0,0.0,1
hour_02,1665,90.82437410510511,68.425269,44.44573275685487,68.27121,273.132429,68.32274888,68.33810799999999,68.379989,78.374326,188.87095939999998,189.2145778,190.66581979999995,100.0,100.0,100.0,18.85885885885886,0.0,0.0,2
hour_03,1671,90.1965327253142,68.439397,42.91223395234985,68.255206,229.776,68.31567829999999,68.338228,68.382784,78.38287700000001,188.850341,189.13883900000002,190.0389166,100.0,100.0,100.0,18.491921005385997,0.0,0.0,3
hour_04,1649,89.90760450818678,68.460648,42.808526760623295,68.298517,265.842241,68.32346252,68.3418628,68.388256,78.389388,188.8535908,189.1822572,190.01814407999998,100.0,100.0,100.0,18.192844147968465,0.0,0.0,4
hour_05,1619,90.97301798394071,68.600524,67.10285515609455,68.306139,2160.227866,68.32761554,68.3501524,68.3943125,78.353953,188.8495234,189.1978876,190.30752368,100.0,100.0,100.0,17.726991970352067,0.06176652254478073,0.06176652254478073,5
hour_06,1679,221.47851162537225,68.901882,5390.928663873862,68.298634,220979.615738,68.33068462,68.352701,68.409887,78.64869949999999,188.868779,189.1323883,190.1754661,100.0,100.0,100.0,17.748659916617036,0.05955926146515784,0.05955926146515784,6
hour_07,1698,89.98487726678447,69.2310105,42.960479441002406,68.312937,293.317771,68.33412805,68.35653245,68.428263,78.60285725,188.8481381,189.23422630000002,208.84053094,100.0,100.0,100.0,16.90223792697291,0.0,0.0,7
hour_08,1730,89.52362383236995,69.44802899999999,41.82219117475265,68.276234,229.439778,68.33944662,68.36852499999999,68.467983,78.42516375,188.8839815,189.2917979,197.59598134000004,100.0,100.0,100.0,17.167630057803468,0.0,0.0,8
hour_09,1725,89.58478449043477,69.584239,41.395005026395964,68.320426,229.720313,68.34665523999999,68.38142380000001,68.514342,79.356756,188.8658758,189.2866302,193.81977784,100.0,100.0,100.0,16.869565217391305,0.0,0.0,9
hour_10,1713,90.2703725691769,69.676691,41.78913181114414,68.32092,235.201869,68.34689312,68.390334,68.569982,81.57382,188.905802,189.3806942,203.3478184,100.0,100.0,100.0,17.162872154115586,0.0,0.0,10
hour_11,1671,92.746974497307,69.839191,46.81266313015472,68.304775,728.493525,68.3448231,68.3843825,68.5258645,83.35778149999999,188.975568,189.4072825,209.0301378,100.0,100.0,100.0,18.91083183722322,0.11968880909634949,0.059844404548174746,11
hour_12,1666,92.65066332232894,69.71756350000001,43.8813762219012,68.311939,246.730055,68.34884195,68.38270800000001,68.50030325,81.10354325,188.9458615,189.49409375,200.44598709999997,100.0,100.0,100.0,20.168067226890756,0.0,0.0,12
hour_13,1661,93.27910989524383,69.714506,45.126505579123034,68.319959,391.587718,68.3487756,68.379523,68.514785,83.360003,188.983118,189.503849,202.67197200000004,100.0,100.0,100.0,19.867549668874172,0.060204695966285374,0.0,13
hour_14,1668,92.75238306115108,69.8961065,43.81008874196887,68.318112,330.880019,68.35157493,68.38077055,68.53940825000001,82.10099575,188.9677928,189.4491264,198.69476178999994,100.0,100.0,100.0,20.023980815347723,0.05995203836930455,0.0,14
hour_15,1638,94.48595403296703,70.29007,45.76604576584737,68.316602,417.468195,68.3435805,68.38404535000001,68.58300225,85.44995075,189.0728916,189.8098345,220.40856206999808,100.0,100.0,100.0,20.146520146520146,0.06105006105006105,0.0,15
hour_16,1608,96.04228077238805,71.064572,54.39536468721328,68.315674,1307.336019,68.33569861,68.3780603,68.632297,87.465615,189.08959049999999,189.99595865,206.7899782800001,100.0,100.0,100.0,20.398009950248756,0.12437810945273632,0.06218905472636816,16
hour_17,1607,93.92414001244555,70.775986,43.31171786751867,68.319158,254.052933,68.34344637999999,68.3844656,68.61772199999999,87.0566695,189.0182922,189.7775148,199.02749372000002,100.0,100.0,100.0,19.601742377100187,0.0,0.0,17
hour_18,1598,94.82661878097622,70.8092015,45.530066472237216,68.31801,447.021179,68.35506157,68.3846573,68.60209875,87.086189,189.07909270000002,189.8182987,209.01387037,100.0,100.0,100.0,19.712140175219023,0.0625782227784731,0.0,18
hour_19,1600,94.41712241125,70.4410965,45.17441912948163,68.319954,272.384028,68.34386541,68.38257420000001,68.591565,85.775106,189.1312596,189.89177985,216.82223228999996,100.0,100.0,100.0,20.0625,0.0,0.0,19
hour_20,1595,94.98744943385579,70.126997,59.59146204625638,67.545392,1651.255672,68.33509574,68.374801,68.514264,85.25508099999999,189.11595300000002,189.8043845,209.6097427,100.0,100.0,100.0,20.12539184952978,0.12539184952978058,0.06269592476489029,20
hour_21,1640,92.28543773780487,69.280418,44.32144514942231,68.310241,281.373125,68.33015425,68.36112035,68.42143974999999,81.7142645,188.9669725,189.5723036,209.18494642999997,100.0,100.0,100.0,19.573170731707318,0.0,0.0,21
hour_22,1612,92.15609887468985,68.93221,44.177417231820655,68.299285,234.33999,68.33204923000001,68.35279795000001,68.3993145,82.19459325,188.92961019999998,189.3390875,192.17553692999985,100.0,100.0,100.0,19.47890818858561,0.0,0.0,22
hour_23,1620,94.59948085123457,68.48025799999999,115.53498592043478,68.293988,4385.702746,68.32595584,68.34390685,68.38720425,78.70393849999999,188.922105,189.2783212,192.08763635999992,100.0,100.0,100.0,19.691358024691358,0.06172839506172839,0.06172839506172839,23
