,return_120s,return_300s,return_600s,return_1200s,mid_return_lag_1,mid_return_lag_2,mid_return_lag_3,mid_return_lag_5,relative_spread_bps,ask_range_8_bps,bid_range_8_bps,ask_concentration,bid_concentration,ask_slope,bid_slope,log_ask_depth_1,log_ask_depth_2,log_ask_depth_3,log_ask_depth_5,log_ask_depth_8,log_bid_depth_1,log_bid_depth_2,log_bid_depth_3,log_bid_depth_5,log_bid_depth_8,obi_1,obi_2,obi_3,obi_5,obi_8,weighted_obi,microprice_edge_bps,ask_distance_1_bps,ask_distance_2_bps,ask_distance_3_bps,ask_distance_5_bps,ask_distance_8_bps,bid_distance_1_bps,bid_distance_2_bps,bid_distance_3_bps,bid_distance_5_bps,bid_distance_8_bps,spread_change_lag_1,spread_change_lag_2,spread_change_lag_3,spread_change_lag_5,spread_mean_300s,spread_std_300s,spread_mean_600s,spread_std_600s,obi5_change_lag_1,obi5_change_lag_2,obi5_change_lag_3,obi5_change_lag_5,microprice_edge_change_lag_1,microprice_edge_change_lag_2,microprice_edge_change_lag_3,microprice_edge_change_lag_5,obi5_mean_300s,obi5_std_300s,obi5_mean_600s,obi5_std_600s,weighted_obi_mean_300s,microprice_edge_mean_300s,snapshot_ofi_proxy_l1,weighted_snapshot_ofi_proxy,snapshot_ofi_proxy_300s,snapshot_ofi_proxy_600s,normalized_snapshot_ofi_300s,normalized_snapshot_ofi_600s,bid_depth_change_lag_1,ask_depth_change_lag_1,volatility_120s,volatility_300s,volatility_600s,volatility_1200s,hour_sin,hour_cos,dow_sin,dow_cos
return_120s,0.0013223693,3.5817226e-05,3.3299768e-06,4.8221053e-05,0.00010769105,2.696894e-05,9.3356866e-05,2.2081224e-05,7.8577985e-05,1.5097888e-05,0.00020967697,2.6004933e-05,5.2038395e-05,8.914052e-05,8.751449e-05,0.000114223025,5.4692242e-05,4.0581454e-05,1.0393903e-05,1.8364673e-05,2.3628743e-05,7.646414e-05,4.24315e-05,1.5049205e-05,3.350001e-05,9.910572e-05,8.772696e-05,1.7965738e-05,2.8239563e-05,1.6248208e-05,7.259663e-05,5.7686925e-06,0.0,0.00036653836,0.00016975871,8.0561964e-05,9.139297e-06,0.0,0.00017161046,0.00037783387,6.21016e-05,9.069486e-06,4.805271e-05,2.18085e-05,4.2689288e-05,1.19759e-05,2.2664912e-05,0.00011560472,2.9054296e-05,4.2107527e-05,2.2898039e-05,3.0155808e-05,1.3637813e-05,3.8024096e-05,3.9479433e-05,8.359414e-06,1.7412456e-05,2.620034e-05,2.154383e-06,3.045317e-05,1.2158018e-05,4.1027142e-05,9.883633e-06,4.783051e-06,0.00016734595,9.79354e-06,6.219874e-05,8.7978304e-05,3.7015772e-05,4.2529355e-05,3.14294e-05,2.4629777e-05,0.00019643188,0.00012289252,0.00010866756,0.0002236501,5.693855e-05,0.00019856193,2.67057e-06,7.451865e-07
return_300s,3.5817226e-05,0.0026510477,6.384089e-05,4.45018e-05,0.00026553308,7.640294e-05,5.1102325e-05,5.432029e-05,6.1724204e-05,6.3096845e-06,7.131573e-05,9.027541e-06,3.8995706e-05,0.00022027234,0.00019075116,0.00023541445,5.334542e-05,3.505039e-05,6.347619e-05,0.00013866255,4.2234107e-05,7.582297e-05,7.5018186e-05,2.2631086e-05,2.7220796e-05,0.00023025188,7.793947e-05,6.134784e-05,1.9722085e-05,3.2372707e-05,7.656597e-05,1.49049465e-05,7.3039414e-06,0.00049267453,0.00031915988,0.00016213041,4.6494166e-05,3.8731255e-06,0.00018096292,0.0007569533,5.987348e-05,4.7141144e-05,3.8234073e-05,4.022917e-05,3.2580207e-05,9.388388e-06,2.7073515e-05,8.2371385e-05,3.364865e-05,8.396362e-05,2.6978645e-05,6.526501e-05,2.48481e-05,2.8426637e-05,6.423788e-05,2.5803187e-05,1.037363e-05,3.0070561e-05,4.5146797e-05,4.4356897e-05,6.6166344e-06,4.558793e-05,1.4278692e-05,5.783876e-05,6.488611e-05,6.1605765e-06,0.00020363418,9.087215e-05,9.570743e-05,8.668019e-05,1.9788236e-05,4.1943982e-05,0.00014333887,9.712795e-05,9.5201176e-05,8.396013e-05,9.48224e-06,9.510489e-05,4.8967477e-06,8.280626e-06
return_600s,3.3299768e-06,6.384089e-05,0.0022823003,2.826075e-05,0.0001659486,1.0345105e-05,3.9063165e-05,1.0621252e-05,0.00010528574,9.846495e-06,6.369671e-05,2.8755838e-05,3.5752597e-05,7.167765e-05,0.00013911327,9.370658e-05,4.9022034e-05,2.7536216e-05,4.3351545e-05,6.922254e-05,5.3668948e-05,4.4423545e-05,5.0690498e-05,3.0504294e-05,1.0494009e-05,0.00011818858,0.000111640904,2.3049412e-05,7.161833e-05,4.2698623e-05,0.00011542896,2.8294347e-05,2.9228077e-05,0.00017954202,0.00020311616,0.000113253234,1.790858e-05,0.0,0.0001674566,0.00023620157,6.809765e-05,4.5178116e-05,7.1273e-05,3.0355848e-05,1.5536207e-05,1.6750335e-05,2.0360865e-05,0.00010921284,2.903316e-05,4.40605e-05,3.5297988e-05,3.0190353e-05,4.6362205e-05,4.2819618e-05,2.0167421e-05,1.4600894e-05,2.8178612e-05,1.794098e-05,9.041664e-06,6.494185e-05,5.2625023e-06,7.478879e-05,1.0880267e-05,2.7931848e-05,0.00010216839,2.5282097e-05,3.8350066e-05,0.000111962945,6.7510206e-05,6.405929e-05,3.8481235e-06,6.3738057e-06,0.00015122014,0.00014783052,8.7129505e-05,0.00011351697,8.6767366e-05,0.00015084563,8.8034485e-06,8.446061e-07
return_1200s,4.8221053e-05,4.45018e-05,2.826075e-05,0.0043528434,0.0002426679,3.5785157e-05,5.8941314e-05,4.324473e-05,0.00015523493,5.7751015e-05,0.00039555936,4.4318742e-05,5.2471445e-05,0.00010856331,0.00018810798,0.00011262862,9.7415614e-05,0.000104735605,6.767427e-05,5.879574e-05,0.00014741787,0.00016108232,0.0001022287,4.768841e-05,2.9712342e-05,0.00014259214,0.00015540098,7.894511e-05,3.9936596e-05,5.260999e-05,3.980115e-05,4.74893e-05,1.9852967e-05,0.00039687788,0.00031955363,0.00013847872,6.805726e-05,2.3764518e-05,0.00030815933,0.000601679,0.00019766254,6.842796e-05,8.820626e-05,5.075912e-05,4.3918506e-05,6.4601394e-05,3.823863e-05,0.00022996835,4.5465073e-05,5.4260145e-05,5.9544753e-05,8.2450235e-05,2.9049057e-05,5.4180993e-05,2.513359e-05,2.3047241e-05,3.7106478e-05,4.6029425e-05,2.3877332e-05,0.00010576316,2.2950004e-05,7.0328635e-05,2.3078974e-05,5.080407e-05,0.00024092352,4.9827864e-05,0.000117814976,0.00011207963,8.69364e-05,0.00011855204,3.2151293e-05,5.5458066e-05,0.00023632182,0.00019275847,0.00019211759,0.00018925992,7.565409e-05,0.00018681842,1.7622351e-05,1.0735834e-05
mid_return_lag_1,0.00010769105,0.00026553308,0.0001659486,0.0002426679,0.0078004724,6.330858e-05,9.494389e-05,0.00024801915,0.0002214952,6.1727376e-05,0.0005544179,4.774839e-05,6.637943e-05,0.00019957687,0.00034722162,0.00043513085,6.183255e-05,8.612196e-05,3.6354908e-05,0.00019016325,0.00016644558,0.00063749333,0.00011054527,5.8470196e-05,6.2276216e-05,0.00035151636,0.00017554901,0.00013679321,7.10861e-05,6.0957642e-05,0.000119664815,4.3120952e-05,7.395214e-05,0.0006476837,0.00067736564,0.00039644822,0.0001263473,6.1133946e-06,0.0005448708,0.00093887496,0.00024645287,3.2622167e-05,0.00015419717,8.131786e-05,4.6780086e-05,7.60155e-05,1.1566276e-05,0.00035176022,5.0261373e-05,4.986331e-05,8.882916e-05,6.2821404e-05,8.94743e-05,0.00014777288,5.3054988e-05,6.2349456e-05,2.4398913e-05,7.840734e-05,3.8575574e-05,0.0001968222,7.648143e-05,0.0002364244,9.435275e-06,2.3321478e-05,0.0005790447,0.00021499416,0.0002004049,0.00047147973,0.00022933427,0.00039272627,8.169065e-05,6.670931e-05,0.00043165844,0.0002442476,0.00012756464,0.0006311913,0.00011333276,0.0001582957,6.446266e-06,6.278965e-05
mid_return_lag_2,2.696894e-05,7.640294e-05,1.0345105e-05,3.5785157e-05,6.330858e-05,0.0023133834,1.4900846e-05,1.9359342e-05,5.9873208e-05,3.8714985e-05,0.000116197225,3.5712567e-06,3.9373877e-05,7.641079e-05,0.0002733543,0.00012126519,7.182147e-05,5.049186e-05,3.4360713e-05,2.0802214e-05,0.00014350984,5.113373e-05,8.492028e-05,6.2929894e-06,2.2404873e-05,0.00017731277,7.4340074e-05,7.326164e-05,2.8322469e-05,2.7616045e-06,2.1557893e-05,1.9612668e-05,3.067937e-05,0.00029467032,0.00016227904,0.00011445106,9.000091e-06,0.0,0.00032764082,0.00037592478,0.0001644972,4.203164e-05,2.4673303e-05,1.6377446e-05,2.7554408e-05,1.2380867e-05,1.5593021e-05,0.00032564733,1.6308093e-05,1.2573061e-05,4.2422053e-05,2.4433255e-05,2.8276423e-05,2.4925872e-05,4.194954e-05,1.8417097e-05,4.636262e-05,3.7700152e-05,1.9355675e-05,6.41735e-05,1.9153882e-05,3.1534157e-05,0.0,1.17759955e-05,0.00013597388,6.8052286e-06,4.161089e-05,8.1605656e-05,2.5895206e-05,6.0049177e-05,1.54693e-05,3.7190704e-05,0.00023038105,0.00019277241,0.00017363066,0.00026436985,5.5821467e-05,6.574351e-05,1.67188e-05,1.4578804e-06
mid_return_lag_3,9.3356866e-05,5.1102325e-05,3.9063165e-05,5.8941314e-05,9.494389e-05,1.4900846e-05,0.0022146532,4.7663227e-05,9.3239236e-05,1.7581766e-05,0.00014839991,1.8731145e-05,0.000108937704,8.217995e-05,0.00019635014,0.00018999839,7.611941e-05,5.2483545e-05,4.5300672e-05,5.6801066e-05,0.00020847339,7.4074356e-05,7.314108e-05,4.436804e-05,2.5644735e-05,0.00018619947,8.324025e-05,5.475263e-05,1.7795744e-05,2.6743663e-05,5.2188792e-05,3.1475574e-05,1.647176e-05,0.0005413113,0.00024978782,6.7873225e-05,3.980921e-05,2.5832146e-06,0.0004076453,0.00052388204,0.00010611301,2.9619065e-05,9.681684e-05,1.4901953e-05,6.896944e-05,3.5538545e-05,3.6667723e-05,0.0004065326,3.594125e-05,9.6164644e-05,9.88465e-05,3.1392123e-05,6.633608e-05,1.8624434e-05,4.271866e-05,2.8693988e-05,1.3676935e-05,2.1509873e-05,4.491188e-05,6.75248e-05,1.0126978e-05,0.00012250256,4.890833e-06,2.9610592e-05,0.00024890582,7.1601484e-05,0.00012390436,8.1655744e-05,0.0001895202,0.00015481254,3.2478e-05,3.47179e-05,0.0002380657,0.0002995207,0.00019984387,0.00017913381,8.451164e-05,0.00017079683,2.3395662e-05,6.786658e-06
mid_return_lag_5,2.2081224e-05,5.432029e-05,1.0621252e-05,4.324473e-05,0.00024801915,1.9359342e-05,4.7663227e-05,0.0028492168,0.00010199872,5.1633964e-05,0.00023692788,5.85741e-05,2.2172228e-05,8.107876e-05,0.00016287086,0.00017587992,5.6953217e-05,5.0251023e-05,3.224819e-05,5.2643052e-05,8.313619e-05,8.085868e-05,4.7755962e-05,1.7343471e-05,2.1016373e-05,0.0002644331,5.2271327e-05,9.962307e-05,7.115167e-05,2.5117743e-05,4.098789e-05,2.1838116e-05,3.2003427e-05,0.00048803512,0.00023740949,0.00015241957,1.0037406e-05,0.0,0.0003040958,0.00074636965,0.00013881584,3.3543678e-05,4.6947385e-05,4.9829552e-05,2.9879679e-05,3.090831e-05,3.0056819e-05,0.0001269102,4.066819e-05,0.00016238236,3.3240543e-05,2.7037477e-05,7.928927e-06,4.4964752e-05,1.4890308e-05,2.0915402e-05,1.3228682e-06,2.4232875e-05,1.2027162e-05,0.00020952606,6.3540997e-06,9.758468e-05,2.545598e-06,3.211747e-05,0.00011758075,1.4463909e-05,0.00014986904,5.057918e-05,0.00015792654,5.601912e-05,2.5927506e-05,1.9502057e-05,0.00020531357,0.00027554415,0.00017117444,0.00021125587,5.8094043e-05,7.3394905e-05,8.293542e-06,6.8668064e-06
relative_spread_bps,7.8577985e-05,6.1724204e-05,0.00010528574,0.00015523493,0.0002214952,5.9873208e-05,9.3239236e-05,0.00010199872,0.006360948,0.000104624225,0.00046987153,0.000121458186,0.00013856437,0.00020451812,0.0004977482,0.0006537966,0.00013760885,0.00011104835,5.1226943e-05,9.958055e-05,0.00043572986,0.00032248415,0.00014215468,8.294832e-05,3.8252027e-05,0.0013070862,0.00020179767,8.073447e-05,9.1870344e-05,7.943616e-05,0.00017248438,6.4963235e-05,0.0,0.0011720698,0.0014017903,0.0006204814,5.9253598e-05,0.0,0.0010061656,0.0013664538,0.0004276015,7.4402255e-05,0.0003824025,6.962814e-05,0.00016501517,3.9488106e-05,5.758524e-05,0.0003750566,0.000110601875,0.000105332874,0.00012760203,7.0988564e-05,7.935099e-05,0.0001101989,6.5339605e-05,4.6588902e-05,3.5279845e-05,7.0702794e-05,4.0974883e-05,0.0001572309,2.991895e-05,0.00019002632,6.798522e-05,0.0001289058,0.000409686,3.9106977e-05,0.000186322,0.00016718882,0.00017824901,0.0002928529,9.7690034e-05,0.000122048936,0.0006028554,0.00039140205,0.00034072003,0.0006818528,0.00016095319,0.00037102823,6.196791e-05,4.2286163e-05
ask_range_8_bps,1.5097888e-05,6.3096845e-06,9.846495e-06,5.7751015e-05,6.1727376e-05,3.8714985e-05,1.7581766e-05,5.1633964e-05,0.000104624225,0.0024758868,0.00017017954,4.2233863e-05,5.0563896e-05,9.452073e-05,0.0001389755,0.00041022123,5.668162e-05,3.6998394e-05,3.219385e-05,1.335314e-05,9.775719e-05,7.209649e-05,1.682565e-05,5.1347957e-05,1.1502578e-05,8.583843e-05,9.655817e-05,1.5201455e-05,4.3690936e-05,7.149961e-05,5.77903e-05,3.870611e-05,1.0517056e-05,0.00025774693,0.000163367,6.586512e-05,1.233016e-05,0.0,0.00016578483,0.0002786231,0.00010317192,2.9939072e-05,7.206519e-05,2.5085985e-05,4.4757644e-06,2.8424884e-05,2.5659669e-05,0.00012987076,3.1251897e-05,3.13841e-05,5.2516603e-05,3.9104598e-05,1.6058777e-05,2.7500662e-05,1.7103483e-05,1.2961189e-05,1.5787355e-05,2.990856e-05,2.2916021e-05,0.00015011545,2.0887388e-05,7.425083e-05,2.2028371e-05,3.9730123e-05,0.0001579474,3.1796757e-05,5.323081e-05,8.100385e-05,8.322247e-05,5.1054245e-05,2.4128876e-05,3.9384217e-05,0.00015085311,0.00019161204,0.00021642816,0.00023408695,9.55091e-05,0.00011446028,7.5229773e-06,7.329321e-07
