feature,mean_abs_shap,mean_abs_shap_DOWN,mean_abs_shap_STABLE,mean_abs_shap_UP,family,rank
bid_distance_3_bps,0.059466492384672165,0.10152162611484528,0.006229434162378311,0.07064841687679291,Static imbalance,1
ask_distance_2_bps,0.04536813125014305,0.040193259716033936,0.02862708270549774,0.06728404760360718,Static imbalance,2
ask_distance_3_bps,0.034510914236307144,0.017238901928067207,0.005844605155289173,0.08044923841953278,Static imbalance,3
volatility_120s,0.0316181480884552,0.008975990116596222,0.07937990874052048,0.006498543545603752,Volatility,4
volatility_300s,0.030435696244239807,0.0028935957234352827,0.07972486317157745,0.008688624948263168,Volatility,5
bid_distance_2_bps,0.030429309234023094,0.0422482006251812,0.026990670710802078,0.02204905077815056,Static imbalance,6
spread_std_300s,0.020276138558983803,0.009390085935592651,0.040116045624017715,0.011322281323373318,Dynamic liquidity,7
volatility_1200s,0.019298860803246498,0.006537952460348606,0.04709849879145622,0.004260133020579815,Volatility,8
log_ask_depth_1,0.019054030999541283,0.005417145788669586,0.008333219215273857,0.043411727994680405,Static depth,9
obi_1,0.01785987988114357,0.025770951062440872,0.0010440307669341564,0.026764657348394394,Static imbalance,10
bid_range_8_bps,0.017466163262724876,0.041403815150260925,0.009571182541549206,0.0014234912814572453,Static liquidity,11
hour_cos,0.016260294243693352,0.011026717722415924,0.034300122410058975,0.0034540428314357996,Time,12
snapshot_ofi_proxy_l1,0.014818365685641766,0.02096095308661461,0.00244927522726357,0.021044867113232613,Snapshot order-flow proxy,13
bid_slope,0.014758806675672531,0.033660173416137695,0.00785762257874012,0.0027586249634623528,Static liquidity,14
volatility_600s,0.014466676861047745,0.004677552729845047,0.03295217081904411,0.005770307965576649,Volatility,15
