regime,feature,mean_abs_shap,rank
low_volatility,spread_std_120s,0.0776346,1
low_volatility,volatility_120s,0.077633746,2
low_volatility,hour_cos,0.07261575,3
low_volatility,log_bid_depth_1,0.07112358,4
low_volatility,trade_intensity_300s,0.06627449,5
low_volatility,log_ask_depth_1,0.05838741,6
low_volatility,last_trade_edge_bps,0.05762144,7
low_volatility,bid_distance_3_bps,0.050028708,8
low_volatility,ask_distance_3_bps,0.04436564,9
low_volatility,hour_sin,0.042605206,10
high_volatility,spread_std_120s,0.08220747,1
high_volatility,log_bid_depth_1,0.0696711,2
high_volatility,trade_intensity_300s,0.065224916,3
high_volatility,bid_distance_3_bps,0.062346503,4
high_volatility,hour_cos,0.061450634,5
high_volatility,log_ask_depth_1,0.05935552,6
high_volatility,last_trade_edge_bps,0.05559374,7
high_volatility,ask_distance_3_bps,0.055272862,8
high_volatility,volatility_600s,0.05328911,9
high_volatility,hour_sin,0.052218653,10
narrow_spread,log_bid_depth_1,0.08283996,1
narrow_spread,spread_std_120s,0.07674019,2
narrow_spread,log_ask_depth_1,0.0752377,3
narrow_spread,bid_distance_3_bps,0.06832758,4
narrow_spread,volatility_120s,0.06644125,5
narrow_spread,ask_distance_3_bps,0.063337326,6
narrow_spread,trade_intensity_300s,0.06277984,7
narrow_spread,hour_cos,0.061437402,8
narrow_spread,last_trade_edge_bps,0.049363352,9
narrow_spread,relative_spread_bps,0.047773562,10
wide_spread,spread_std_120s,0.08310189,1
wide_spread,hour_cos,0.072628945,2
wide_spread,trade_intensity_300s,0.06871958,3
wide_spread,last_trade_edge_bps,0.06385173,4
wide_spread,volatility_120s,0.06303469,5
wide_spread,log_bid_depth_1,0.057954587,6
wide_spread,volatility_600s,0.049241114,7
wide_spread,hour_sin,0.04789418,8
wide_spread,bid_distance_3_bps,0.0440477,9
wide_spread,log_ask_depth_1,0.042505246,10
test_first_half,spread_std_120s,0.08093355,1
test_first_half,log_bid_depth_1,0.06979898,2
test_first_half,hour_cos,0.06620315,3
test_first_half,trade_intensity_300s,0.065650515,4
test_first_half,volatility_120s,0.05998924,5
test_first_half,log_ask_depth_1,0.058861993,6
test_first_half,last_trade_edge_bps,0.056331817,7
test_first_half,bid_distance_3_bps,0.055649344,8
test_first_half,ask_distance_3_bps,0.051709637,9
test_first_half,volatility_600s,0.04966688,10
test_second_half,spread_std_120s,0.0790161,1
test_second_half,log_bid_depth_1,0.0709321,2
test_second_half,volatility_120s,0.068982154,3
test_second_half,hour_cos,0.0677751,4
test_second_half,trade_intensity_300s,0.06583835,5
test_second_half,log_ask_depth_1,0.05887989,6
test_second_half,last_trade_edge_bps,0.05685406,7
test_second_half,bid_distance_3_bps,0.05666868,8
test_second_half,ask_distance_3_bps,0.04812974,9
test_second_half,hour_sin,0.046942376,10
hours_0_8,spread_std_120s,0.07934113,1
hours_0_8,volatility_120s,0.077147685,2
hours_0_8,hour_cos,0.07276471,3
hours_0_8,trade_intensity_300s,0.07009323,4
hours_0_8,log_bid_depth_1,0.06813862,5
hours_0_8,last_trade_edge_bps,0.058161654,6
hours_0_8,bid_distance_3_bps,0.05533248,7
hours_0_8,log_ask_depth_1,0.054272432,8
hours_0_8,ask_distance_3_bps,0.045505606,9
hours_0_8,hour_sin,0.042620525,10
hours_8_16,spread_std_120s,0.07979363,1
hours_8_16,log_bid_depth_1,0.07478863,2
hours_8_16,log_ask_depth_1,0.06379899,3
hours_8_16,hour_cos,0.06301819,4
hours_8_16,trade_intensity_300s,0.06145182,5
hours_8_16,bid_distance_3_bps,0.06022432,6
hours_8_16,last_trade_edge_bps,0.055531885,7
hours_8_16,volatility_120s,0.053589296,8
hours_8_16,ask_distance_3_bps,0.05156983,9
hours_8_16,volatility_600s,0.04960087,10
hours_16_24,spread_std_120s,0.08065966,1
hours_16_24,log_bid_depth_1,0.06835017,2
hours_16_24,trade_intensity_300s,0.0655084,3
hours_16_24,hour_cos,0.0650462,4
hours_16_24,volatility_120s,0.062909536,5
hours_16_24,hour_sin,0.061838437,6
hours_16_24,log_ask_depth_1,0.058747355,7
hours_16_24,last_trade_edge_bps,0.056055725,8
hours_16_24,bid_distance_3_bps,0.05302061,9
hours_16_24,ask_distance_3_bps,0.052595504,10
