feature,mean_abs_shap,mean_abs_shap_DOWN,mean_abs_shap_STABLE,mean_abs_shap_UP,family
bid_distance_3_bps,0.059466492384672165,0.10152162611484528,0.006229434162378311,0.07064841687679291,Static imbalance
ask_distance_2_bps,0.04536813125014305,0.040193259716033936,0.02862708270549774,0.06728404760360718,Static imbalance
ask_distance_3_bps,0.034510914236307144,0.017238901928067207,0.005844605155289173,0.08044923841953278,Static imbalance
volatility_120s,0.0316181480884552,0.008975990116596222,0.07937990874052048,0.006498543545603752,Volatility
volatility_300s,0.030435696244239807,0.0028935957234352827,0.07972486317157745,0.008688624948263168,Volatility
bid_distance_2_bps,0.030429309234023094,0.0422482006251812,0.026990670710802078,0.02204905077815056,Static imbalance
spread_std_300s,0.020276138558983803,0.009390085935592651,0.040116045624017715,0.011322281323373318,Dynamic liquidity
volatility_1200s,0.019298860803246498,0.006537952460348606,0.04709849879145622,0.004260133020579815,Volatility
log_ask_depth_1,0.019054030999541283,0.005417145788669586,0.008333219215273857,0.043411727994680405,Static depth
obi_1,0.01785987988114357,0.025770951062440872,0.0010440307669341564,0.026764657348394394,Static imbalance
bid_range_8_bps,0.017466163262724876,0.041403815150260925,0.009571182541549206,0.0014234912814572453,Static liquidity
hour_cos,0.016260294243693352,0.011026717722415924,0.034300122410058975,0.0034540428314357996,Time
snapshot_ofi_proxy_l1,0.014818365685641766,0.02096095308661461,0.00244927522726357,0.021044867113232613,Snapshot order-flow proxy
bid_slope,0.014758806675672531,0.033660173416137695,0.00785762257874012,0.0027586249634623528,Static liquidity
volatility_600s,0.014466676861047745,0.004677552729845047,0.03295217081904411,0.005770307965576649,Volatility
ask_distance_5_bps,0.011019415222108364,0.004974469542503357,0.0017537230160087347,0.026330051943659782,Static imbalance
bid_distance_5_bps,0.010704167187213898,0.024856209754943848,0.002953222719952464,0.004303069785237312,Static imbalance
log_bid_depth_1,0.010345345363020897,0.016557656228542328,0.013672593981027603,0.0008057862869463861,Static depth
snapshot_ofi_proxy_600s,0.01016166340559721,0.006582335103303194,0.0011960850097239017,0.022706568241119385,Snapshot order-flow proxy
log_bid_depth_2,0.009265118278563023,0.01991923153400421,0.007366805803030729,0.0005093173822388053,Static depth
snapshot_ofi_proxy_300s,0.009165509603917599,0.005929860752075911,0.0007061712094582617,0.020860496908426285,Snapshot order-flow proxy
normalized_snapshot_ofi_300s,0.008859572000801563,0.01449111383408308,0.0017548893811181188,0.010332711972296238,Snapshot order-flow proxy
obi_2,0.008590932935476303,0.01319950446486473,0.0008775028982199728,0.011695791967213154,Static imbalance
normalized_snapshot_ofi_600s,0.008239328861236572,0.017786189913749695,0.001851432491093874,0.00508036557585001,Snapshot order-flow proxy
obi5_std_600s,0.008088162168860435,0.006388100795447826,0.014709414914250374,0.003166972426697612,Dynamic imbalance
mid_return_lag_1,0.00792526826262474,0.008823564276099205,0.0036628651432693005,0.011289374902844429,Price history
spread_change_lag_1,0.007280504796653986,0.0032314888667315245,0.013622237369418144,0.004987790249288082,Dynamic liquidity
relative_spread_bps,0.006939633283764124,0.0064149838872253895,0.009120728820562363,0.005283189006149769,Static liquidity
ask_slope,0.006166921462863684,0.0031625614501535892,0.0032271125819534063,0.012111089192330837,Static liquidity
obi5_std_300s,0.006064394488930702,0.0036002756096422672,0.011309156194329262,0.003283752826973796,Dynamic imbalance
spread_std_600s,0.005800062790513039,0.00187078514136374,0.012985694222152233,0.0025437097065150738,Dynamic liquidity
log_bid_depth_3,0.00512089254334569,0.011945054866373539,0.002621882827952504,0.0007957401103340089,Static depth
hour_sin,0.004838789813220501,0.00480384286493063,0.008195574395358562,0.0015169525286182761,Time
log_ask_depth_2,0.004758503753691912,0.001357174594886601,0.006633910816162825,0.006284425500780344,Static depth
return_1200s,0.004243145231157541,0.005851255729794502,0.0035801762714982033,0.003298004623502493,Price history
weighted_obi,0.0038206372410058975,0.002436663256958127,0.000480370013974607,0.008544879034161568,Static imbalance
ask_depth_change_lag_1,0.003730461001396179,0.004089257679879665,0.002308435272425413,0.004793690517544746,Snapshot order-flow proxy
obi_3,0.003705080598592758,0.0038830542471259832,0.00038331266841851175,0.006848875433206558,Static imbalance
obi5_change_lag_5,0.0032964020501822233,0.004861199297010899,0.001423120265826583,0.0036048858892172575,Dynamic imbalance
log_ask_depth_3,0.0030042463913559914,0.0008600052678957582,0.00393629539757967,0.004216438625007868,Static depth
log_ask_depth_8,0.0029479674994945526,0.002676048781722784,0.0019782609306275845,0.004189592320472002,Static depth
bid_concentration,0.002779589267447591,0.0035172756761312485,0.003558994270861149,0.001262497971765697,Static liquidity
mid_return_lag_5,0.0026409660931676626,0.001956547610461712,0.0022177339997142553,0.003748616436496377,Price history
ask_concentration,0.0025764964520931244,0.0013401915784925222,0.004700914025306702,0.001688383286818862,Static liquidity
return_300s,0.0025544166564941406,0.0009928360814228654,0.0009130349499173462,0.005757378879934549,Price history
microprice_edge_bps,0.002548919292166829,0.004262187983840704,0.0009540231549181044,0.0024305470287799835,Static imbalance
obi5_change_lag_2,0.002519893692806363,0.003878008108586073,0.0013311210786923766,0.0023505522403866053,Dynamic imbalance
mid_return_lag_3,0.0024458400439471006,0.0031931495759636164,0.002068084431812167,0.002076285658404231,Price history
obi_8,0.002378956414759159,0.0034254207275807858,0.0006638623890466988,0.00304758595302701,Static imbalance
spread_change_lag_2,0.0023784444201737642,0.0028400795999914408,0.0029975599609315395,0.0012976931175217032,Dynamic liquidity
obi5_change_lag_1,0.002368581248447299,0.003395775565877557,0.0025084803346544504,0.0012014876119792461,Dynamic imbalance
ask_range_8_bps,0.0022530800197273493,0.0012535583227872849,0.003070084610953927,0.002435597823932767,Static liquidity
log_ask_depth_5,0.002221976639702916,0.0013010568218305707,0.0007707818294875324,0.004594091325998306,Static depth
return_600s,0.002158916788175702,0.000927766552194953,0.0018825781298801303,0.003666406264528632,Price history
weighted_snapshot_ofi_proxy,0.0021079035941511393,0.0020338448230177164,0.0005553594673983753,0.003734506666660309,Snapshot order-flow proxy
